L,W,T,m,vol,rho
579.8,213.4,4.8,236,0.000593900736,397.372802716985
579.8,213.4,4.8,248,0.000593900736,417.578199465306
580,217.2,4.9,256,0.0006172824,414.721041779257
580,217,4.7,253.8,0.000591542,429.048148736692
580,217.2,4.2,235.2,0.0005290992,444.529116657141
579.4,217.6,5,253.2,0.0006303872,401.657901683283
576,216.2,4.6,225.6,0.00057284352,393.824826717076
576.8,209.2,4.4,253.2,0.000530932864,476.896453710577
581.4,217.6,5,272.8,0.0006325632,431.261255792307
581.2,217.4,5,269.2,0.0006317644,426.108213758167
