rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,used f1,used f2
401.381330344067,14103664677.6386,1306577366.34953,577140126.983969,828585041.071853,714818468.325125,47528212.4951123,0.452278357438289,0.424053792182543,0.396725182015257,f11,f02
401.381330344067,21342312047.0566,773862375.262983,577140126.983969,816845237.839563,714818468.325125,47528212.4951123,0.452278231708256,0.424053799310563,0.396725143945423,f11,f20
401.381330344067,10738086144.9392,1231977734.08115,577140126.983969,838132892.819974,714818468.325125,47528212.4951122,0.452278352085579,0.424053743669733,0.39672512060598,f11,f12
401.381330344067,18340808483.4469,672087376.976797,577140126.983969,825807474.62342,714818468.325125,47528212.4951123,0.452278244506471,0.424053783267165,0.396725213627623,f11,f21
401.381330344067,17570141908.6435,221150319.659049,577140126.983969,833498978.803288,714818468.325125,47528212.4951123,0.452278162377639,0.424053736155982,0.396725061263226,f11,f22
401.381330344067,-1167514958.03408,430955605.580062,577140126.983969,878723744.61204,714818468.325125,47528212.4951122,0.452278173825986,0.424053845326251,0.396725305399528,f11,f23
401.381330344067,14933968294.3422,594969760.093484,577140126.983969,835492721.518441,714818468.325125,47528212.4951122,0.452278295408632,0.424053660379559,0.39672511980347,f11,f30
401.381330344067,21795852255.236,132381138.385289,577140126.983969,823825947.304614,714818468.325125,47528212.4951123,0.452278305078568,0.424053654925792,0.396725141287538,f11,f31
401.381330344067,25256632597.3488,464412670.618354,577140126.983969,810768171.547133,714818468.325125,47528212.4951123,0.452278272531735,0.424053743788985,0.39672517331119,f11,f32
401.381330344067,1510011784.26802,1456375332.52603,577140126.983969,858869256.115423,714818468.325125,47528212.4951123,0.452278390733389,0.42405372621195,0.396725097004976,f11,f24
401.381330344067,17310494392.1273,536975747.333554,577140126.983969,830155014.404465,714818468.325125,47528212.4951123,0.452278311569645,0.424053736760358,0.396725159298619,f11,f33
401.381330344067,14211280109.1499,775266782.181034,577140126.983969,1120057138.11032,714818468.325125,47528212.4951123,0.452278306649579,0.42405374709047,0.396725185163241,f02,f20
401.381330344067,14075545048.124,1423481998.98693,577140126.983969,680384917.158574,714818468.325125,47528212.4951123,0.452278343758234,0.424053851039124,0.396725159013495,f02,f12
401.381330344067,14226786817.8703,630460258.937099,577140126.983969,937787821.750957,714818468.325125,47528212.4951124,0.452278239735754,0.424053799094866,0.396725179118741,f02,f21
401.381330344067,14212936870.1684,644617592.054251,577140126.983969,722111177.023204,714818468.325125,47528212.4951122,0.452278300797224,0.424053717045086,0.396725143592603,f02,f22
401.381330344067,14082046814.3868,1208552516.57518,577140126.983969,97183341.6776865,714818468.325125,47528212.4951122,0.452278209058666,0.424053687722149,0.396725216419404,f02,f23
401.381330344067,14236392203.7769,600796281.87686,577140126.983969,1022163703.80718,714818468.325125,47528212.4951124,0.452278280895494,0.424053738666207,0.396725185208836,f02,f30
401.381330344067,14243912193.6923,547167566.424698,577140126.983969,988333279.950252,714818468.325125,47528212.4951122,0.452278248973982,0.424053665138856,0.396725058771601,f02,f31
401.381330344067,14155023036.6552,869113565.55117,577140126.983969,363384564.025108,714818468.325125,47528212.4951124,0.452278225476734,0.424053830110029,0.396725252091902,f02,f32
401.381330344067,14117826221.4135,992382555.728452,577140126.983969,64217697.0776886,714818468.325125,47528212.4951123,0.452278271782882,0.424053659162162,0.396725157208014,f02,f24
401.381330344067,14143698292.1708,987635769.918676,577140126.983969,538438600.987045,714818468.325125,47528212.4951123,0.45227829693709,0.424053713699559,0.396725212925938,f02,f33
401.381330344067,11709090706.87,778807599.686563,577140126.983969,807008856.574418,714818468.325125,47528212.4951124,0.452278441975053,0.424053779079317,0.396725134179733,f20,f12
401.381330344067,24671718612.7648,773804607.615127,577140126.983969,593010849.15628,714818468.325125,47528212.4951122,0.452278389898955,0.424053673232947,0.396725229185401,f20,f21
401.381330344067,20121354891.6191,776525991.519725,577140126.983969,535312975.763319,714818468.325125,47528212.4951123,0.452278311569642,0.424053736760355,0.396725159298616,f20,f22
401.381330344067,-1681521590.62268,785695087.631346,577140126.983969,791486403.177198,714818468.325125,47528212.4951123,0.452278430767696,0.424053779560383,0.396725266537574,f20,f23
401.381330344067,8268072341.11565,775976611.685472,577140126.983969,1436136563.81522,714818468.325125,47528212.4951123,0.452278345204277,0.424053689114425,0.396725314161692,f20,f30
401.381330344067,11234626482.986,779768202.551807,577140126.983969,707845794.355143,714818468.325125,47528212.4951123,0.452278307043718,0.424053759337078,0.396725048735138,f20,f31
401.381330344067,23737361480.115,776102624.272626,577140126.983969,341841092.733683,714818468.325125,47528212.4951122,0.45227829307121,0.424053417482907,0.396724897136857,f20,f32
401.381330344067,2693503603.48229,782610376.394059,577140126.983969,911380017.268552,714818468.325124,47528212.4951123,0.452278311569642,0.424053736760355,0.396725159298622,f20,f24
401.381330344067,16380126286.1893,777515617.009526,577140126.983969,659605687.917922,714818468.325125,47528212.4951122,0.45227821861017,0.424053693788075,0.39672500599151,f20,f33
401.381330344067,18342244561.7006,873860003.391978,577140126.983969,501775756.070603,714818468.325125,47528212.4951123,0.452278153177527,0.424053526348712,0.396725115403157,f12,f21
401.381330344067,20429922093.3782,1069012858.28131,577140126.983969,400912123.819873,714818468.325125,47528212.4951123,0.452278380007128,0.424053672134765,0.396725182569745,f12,f22
401.381330344067,23836098495.8149,-634316492.308216,577140126.983969,295031577.854008,714818468.325125,47528212.4951123,0.452278269610952,0.424053823717401,0.396725257786187,f12,f23
401.381330344067,9424219259.81497,789184802.126331,577140126.983969,910898673.562368,714818468.325125,47528212.495112,0.452278524538553,0.424053739851172,0.396724838949151,f12,f30
401.381330344067,4867837780.85261,1078153075.81402,577140126.983969,1110283341.4882,714818468.325125,47528212.4951123,0.45227834222774,0.42405372866285,0.39672511568034,f12,f31
401.381330344067,11569413162.9682,611926759.832454,577140126.983969,818222244.819602,714818468.325125,47528212.4951124,0.452277963211089,0.424053683501783,0.39672521813934,f12,f32
401.381330344067,-10718998801.929,937114157.456896,577140126.983969,1825142344.58294,714818468.325125,47528212.4951122,0.452278197388856,0.424053643172832,0.396725139514661,f12,f24
401.381330344067,22046498599.4572,1059754553.01989,577140126.983969,327464554.904128,714818468.325125,47528212.4951122,0.452278304803821,0.424053802887504,0.396725190805691,f12,f33
401.381330344067,17185560958.9851,837449763.1826,577140126.983969,572934750.17858,714818468.325125,47528212.4951122,0.452278261414221,0.424053706606331,0.396725149953657,f21,f22
401.381330344067,8035354411.9127,1026733940.17776,577140126.983968,369357263.701465,714818468.325125,47528212.4951122,0.452278274276469,0.424053694783996,0.396725180995281,f21,f23
401.381330344067,15273640323.5158,561081872.152805,577140126.983969,1037714290.8522,714818468.325125,47528212.4951122,0.452278075967053,0.424053925465009,0.396726110836492,f21,f30
401.381330344067,14191938604.0131,527989921.878014,577140126.983969,1102721886.72583,714818468.325125,47528212.4951123,0.452278362920983,0.424053776390711,0.396725069438639,f21,f31
401.381330344067,-15845027716.2076,237607706.022788,577140126.983969,1898556057.16746,714818468.325125,47528212.4951124,0.452278413369466,0.424054035874709,0.39672494384989,f21,f32
401.381330344067,6310798881.78233,870750894.459422,577140126.983969,638761647.459584,714818468.325125,47528212.4951123,0.452278341388498,0.424053721824479,0.396725103862299,f21,f24
401.381330344067,19652670171.4718,834064493.827303,577140126.983969,551305055.908588,714818468.325125,47528212.4951122,0.45227843551973,0.424053721130124,0.396725067897917,f21,f33
401.381330344067,5793739059.23046,3118967267.32288,577140126.983969,-173639378.156929,714818468.325125,47528212.4951121,0.452278206910901,0.424053752773738,0.396725185439032,f22,f23
401.381330344067,15098540187.5146,600974217.674217,577140126.983969,721789000.036344,714818468.325125,47528212.4951123,0.452278358901679,0.424053681178033,0.396725160230813,f22,f30
401.381330344067,20403049314.745,225306935.653388,577140126.983969,769723584.006763,714818468.325125,47528212.4951123,0.452278285407505,0.424053778097102,0.396725152989844,f22,f31
401.381330344067,16616347967.2389,651034266.162761,577140126.983969,666743250.823849,714818468.325125,47528212.4951121,0.452278293703138,0.424053782883907,0.396724987265717,f22,f32
401.381330344067,3648521046.48431,990713670.742042,577140126.983969,802126783.180029,714818468.325125,47528212.4951121,0.452278441747175,0.424053565940992,0.396724950062569,f22,f24
401.381330344067,23973180808.4253,951669022.066122,577140126.983969,374627249.394078,714818468.325125,47528212.4951123,0.452278325318201,0.424053538258145,0.396725130926911,f22,f33
401.381330344067,16305563958.7974,612506676.906705,577140126.983968,194743556.608448,714818468.325125,47528212.4951123,0.452278311569637,0.424053736760351,0.39672515929861,f23,f30
401.381330344067,2032767664.97023,1367701640.09874,577140126.983969,484072222.632617,714818468.325125,47528212.4951124,0.452278508106725,0.424053781901976,0.396725524285067,f23,f31
401.381330344067,25265487204.2482,1156612740.1705,577140126.983969,-290459486.468052,714818468.325125,47528212.4951122,0.452278243166741,0.424053758851923,0.396725073482662,f23,f32
401.381330344067,12613233743.6846,1452269926.0292,577140126.983969,77465209.4001038,714818468.325125,47528212.4951122,0.45227834780902,0.424053680617892,0.396725157076107,f23,f24
401.381330344067,13752897241.544,1750646490.21191,577140126.983969,-52577321.5345888,714818468.325125,47528212.4951123,0.452278404344996,0.424053765856621,0.396725197963434,f23,f33
401.381330344067,11766618770.2143,696558441.522376,577140126.983969,973791377.566931,714818468.325125,47528212.4951124,0.452278395100159,0.424053706677651,0.39672514086518,f30,f31
401.381330344067,19415271151.0707,413626673.820981,577140126.983969,994875296.856516,714818468.325125,47528212.4951124,0.452278370993691,0.424053736570836,0.396725221850274,f30,f32
401.381330344067,5893676854.07981,946075616.791961,577140126.983969,652956256.794516,714818468.325125,47528212.4951124,0.452278337415129,0.424053772450689,0.396725125876181,f30,f24
401.381330344067,17300387285.3931,506102863.132821,577140126.983969,854575030.570634,714818468.325125,47528212.4951123,0.452278311569641,0.424053736760359,0.396725159298618,f30,f33
401.381330344067,17357648506.3382,328148869.688272,577140126.983969,1167239293.36973,714818468.325125,47528212.4951122,0.452278423072486,0.424053720185692,0.396725259801052,f31,f32
401.381330344067,-146470488.611784,1398756492.48191,577140126.983969,987190935.137213,714818468.325125,47528212.4951125,0.452278070915154,0.424053687041391,0.396724734566991,f31,f24
401.381330344067,16702992752.9215,410902982.348207,577140126.983969,940938842.921152,714818468.325125,47528212.4951121,0.452278377204436,0.424053826995544,0.396725122050959,f31,f33
401.381330344067,-1369140954.95773,478780416.505247,577140126.983969,1258875173.33971,714818468.325125,47528212.4951123,0.452278167003844,0.424053849310083,0.396725188227343,f32,f24
401.381330344067,25250531242.8925,562300535.92066,577140126.983969,655167625.949936,714818468.325125,47528212.4951123,0.452278272409688,0.42405369451844,0.396725117540859,f32,f33
401.381330344067,2926452859.54842,822879232.831477,577140126.983969,886846872.110574,714818468.325125,47528212.4951123,0.452278266450972,0.424053604092974,0.396725275525916,f24,f33
