err [%],used f1,used f2,Mech params
4.34868425058927,f20,f31,negative MP
4.36990372536137,f02,f22,negative MP
4.59198943477244,f20,f12,negative MP
4.93980957050685,f12,f32,negative MP
5.27198167137086,f22,f30,negative MP
5.44614045526215,f11,f30,negative MP
5.84695189282187,f12,f30,negative MP
6.25185406097857,f20,f33,negative MP
6.32456089812879,f22,f32,negative MP
6.77323051456263,f02,f21,negative MP
6.92391029696809,f21,f24,negative MP
7.06355168253686,f30,f31,negative MP
7.17397296148341,f21,f22,negative MP
7.20931714008253,f02,f32,negative MP
7.24353973619274,f30,f24,negative MP
7.25999748494881,f24,f33,negative MP
7.30190145578303,f02,f33,negative MP
7.35977189518993,f20,f24,negative MP
7.49682901295091,f11,f33,negative MP
7.60607236883826,f02,f31,negative MP
7.85853751360954,f22,f24,negative MP
7.86334986376571,f30,f33,negative MP
8.30548372239811,f02,f30,negative MP
8.42804768577513,f12,f21,negative MP
9.09164660411855,f11,f21,negative MP
9.12116031966237,f20,f22,negative MP
9.13206013425069,f21,f23,negative MP
9.16750583381003,f31,f33,negative MP
9.29528670170478,f21,f33,negative MP
9.33171922771279,f21,f30,negative MP
9.63798173936461,f21,f31,negative MP
10.8355880659951,f23,f30,negative MP
10.9050429513882,f11,f22,negative MP
11.0320139453724,f02,f24,negative MP
11.565131121635,f20,f23,positive MP
11.6310380567789,f02,f23,negative MP
12.0375294757898,f30,f32,negative MP
12.0828375172198,f22,f31,negative MP
12.1341022903117,f02,f20,negative MP
12.2205711185012,f20,f32,negative MP
12.5147953193401,f12,f22,negative MP
12.5410228185217,f11,f12,negative MP
12.945504189489,f12,f31,negative MP
13.0650987623327,f11,f20,negative MP
13.3187256508718,f32,f24,positive MP
13.3848543409073,f12,f33,negative MP
13.424071494972,f31,f32,negative MP
13.7620292710433,f22,f33,negative MP
13.842385675669,f11,f31,negative MP
13.8693015428789,f20,f21,negative MP
13.9033795339085,f23,f31,negative MP
13.9749922519375,f32,f33,negative MP
14.624516736448,f23,f24,negative MP
14.8295564168099,f11,f32,negative MP
14.9865496847267,f11,f24,negative MP
15.2376224315231,f11,f02,negative MP
15.4445735170808,f11,f23,positive MP
15.5555629262568,f02,f12,negative MP
15.6618099657959,f31,f24,positive MP
16.3574198291961,f20,f30,negative MP
18.6173048324708,f23,f33,positive MP
19.6078886676009,f23,f32,positive MP
24.8072850479321,f12,f24,positive MP
27.177826951871,f21,f32,positive MP
28.842104986416,f12,f23,positive MP
40.522472818068,f22,f23,positive MP
