f1,f2,f3,f4,f5
0.3034,0.28342,0.287306666666667,0.285853333333333,0.295566666666667
0.463353333333333,0.46952,0.289086666666667,0.46276,0.460746666666667
0.544746666666667,0.5542,0.55062,0.49202,0.303993333333333
0.67136,0.62536,0.643626666666667,0.626473333333333,0.5653
0.744673333333333,0.664706666666667,0.6689,0.656866666666667,0.66198
0.82508,0.689646666666667,0.703866666666667,0.738633333333333,0.73254
0.813113333333333,0.872606666666667,0.875646666666667,0.74294,0.873246666666667
0.931313333333333,0.920513333333333,0.93394,0.9288,0.935286666666667
0.943813333333333,0.948106666666667,0.94706,0.94174,0.946006666666667
0.96042,0.9652,0.935053333333333,0.965733333333333,0.965033333333333
0.960466666666667,0.952446666666667,0.956733333333333,0.977146666666667,0.976446666666667
0.94214,0.971913333333333,0.98806,0.966866666666667,0.97942
0.94958,0.96722,0.972586666666667,0.97176,0.98336
0.961573333333334,0.981853333333333,0.976906666666667,0.986326666666667,0.992106666666667
0.952733333333333,0.9916,0.990813333333333,0.983546666666667,0.9937
0.977706666666667,0.988013333333333,0.994353333333333,0.997246666666667,0.98462
0.984073333333333,0.99064,0.993853333333333,0.992026666666667,0.970966666666667
0.9863,0.986046666666667,0.99688,0.993066666666666,0.98296
0.98116,0.9921,0.995833333333333,0.995726666666667,0.987986666666667
0.989326666666667,0.993913333333333,0.996733333333333,0.99216,0.995926666666667
0.990313333333333,0.992286666666667,0.9965,0.997833333333333,0.998333333333333
0.988626666666667,0.98526,0.997033333333334,0.995986666666667,0.993933333333333
0.99104,0.995366666666667,0.996926666666667,0.99478,0.9959
0.985953333333333,0.99404,0.997193333333333,0.998026666666667,0.99378
0.989333333333333,0.99578,0.99884,0.998626666666667,0.993513333333333
0.98674,0.996,0.99834,0.998733333333334,0.994153333333333
0.991486666666667,0.994666666666667,0.998966666666667,0.997646666666667,0.997006666666667
0.984273333333333,0.997546666666667,0.9934,0.998986666666667,0.999666666666667
0.990793333333333,0.992773333333333,0.998813333333333,0.38044,0.993233333333333
0.990373333333333,0.997613333333333,0.991753333333333,0.999753333333333,0.992313333333333
0.987946666666667,0.9967,0.99896,0.997833333333334,0.997633333333333
0.99174,0.982366666666667,0.980786666666666,0.9986,0.998946666666667
0.986753333333333,0.995253333333334,0.997773333333333,0.997293333333333,0.99608
0.98988,0.991046666666667,0.999013333333334,0.99718,0.999193333333333
0.986513333333333,0.999093333333333,0.998793333333333,0.9957,0.999566666666667
0.991773333333333,0.998073333333333,0.997593333333333,0.999673333333334,0.994893333333334
0.989893333333333,0.99348,0.999453333333333,0.994093333333333,0.998653333333333
0.991926666666667,0.9708,0.99876,0.99876,0.0578133333333333
0.994473333333333,0.998853333333333,0.99914,0.998713333333333,0.99792
0.985773333333333,0.990913333333333,0.999066666666667,0.998933333333333,0.994093333333333
0.99032,0.990373333333333,0.998926666666667,0.9988,0.999066666666667
0.996993333333334,0.996373333333333,0.997426666666667,0.999286666666667,0.99966
0.9902,0.997226666666667,0.999366666666667,0.999746666666667,0.98582
0.994626666666667,0.994133333333333,0.997993333333334,0.999226666666667,0.99752
0.99332,0.999346666666667,0.99564,0.14334,0.995273333333333
0.991886666666667,0.995933333333333,0.999746666666667,0.999786666666667,0.729226666666667
0.996313333333333,0.998333333333333,0.999386666666667,0.998473333333333,0.13922
0.983673333333333,0.998966666666667,0.998646666666667,0.989813333333333,0.997293333333333
0.99524,0.996013333333334,0.998186666666667,0.99974,0.996393333333333
0.997113333333333,0.999406666666667,0.997873333333333,0.98774,0.988333333333333
