f1,f2,f3,f4
0,0,0,0
0.8127,0.861125,0.8623,0.76405
0,0,0,0
0.940975,0.950975,0.964475,0.935325
0,0,0,0
0,0,0,0
0,0,0,0
0.957675,0.98575,0.920625,0.979875
0,0,0,0
0,0,0,0
0,0,0,0
0.971625,0.98745,0.95485,0.994525
0,0,0,0
0,0,0,0
0,0,0,0
0.984325,0.993775,0.991775,0.9547
0,0,0,0
0,0,0,0
0,0,0,0
0.983925,0.959375,0.970375,0.912375
0,0,0,0
0,0,0,0
0,0,0,0
0.9619,0.9466,0.99595,0.79385
0,0,0,0
0,0,0,0
0,0,0,0
0.95925,0.866,0.962725,0.996825
0,0,0,0
0,0,0,0
0,0,0,0
0.98625,0.975525,0.96955,0.5882
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.962025,0.662275,0,0.66165
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
